Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Trainer initialized on GPU

-----TRAINING-----

TRAIN Epoch 0 | Batchsize: 18 | Steps: 535
TRAIN Epoch 0 | Batch 0 | TOTAL 1.8571 | RECON 1.0546 | BCE 0.6586 | KL 0.1439 | ACC 0.6248 | PRC 0.2067 | RCL 0.2134 | F1 0.2100
TRAIN Epoch 0 | Batch 1 | TOTAL 1.7423 | RECON 0.9814 | BCE 0.6615 | KL 0.0994 | ACC 0.6549 | PRC 0.2158 | RCL 0.1158 | F1 0.1507
TRAIN Epoch 0 | Batch 2 | TOTAL 1.6608 | RECON 0.8937 | BCE 0.6875 | KL 0.0796 | ACC 0.6473 | PRC 0.2606 | RCL 0.0875 | F1 0.1310
TRAIN Epoch 0 | Batch 3 | TOTAL 1.5314 | RECON 0.8221 | BCE 0.6360 | KL 0.0734 | ACC 0.6978 | PRC 0.1924 | RCL 0.0685 | F1 0.1010
TRAIN Epoch 0 | Batch 4 | TOTAL 1.4835 | RECON 0.7585 | BCE 0.6528 | KL 0.0721 | ACC 0.6832 | PRC 0.2225 | RCL 0.0628 | F1 0.0979
TRAIN Epoch 0 | Batch 5 | TOTAL 1.3870 | RECON 0.6963 | BCE 0.6223 | KL 0.0684 | ACC 0.7086 | PRC 0.2048 | RCL 0.0591 | F1 0.0918
TRAIN Epoch 0 | Batch 6 | TOTAL 1.3914 | RECON 0.6471 | BCE 0.6798 | KL 0.0645 | ACC 0.6505 | PRC 0.2718 | RCL 0.0529 | F1 0.0886
TRAIN Epoch 0 | Batch 7 | TOTAL 1.2835 | RECON 0.5865 | BCE 0.6314 | KL 0.0656 | ACC 0.7083 | PRC 0.2128 | RCL 0.0544 | F1 0.0866
TRAIN Epoch 0 | Batch 8 | TOTAL 1.2606 | RECON 0.5615 | BCE 0.6356 | KL 0.0636 | ACC 0.7020 | PRC 0.1988 | RCL 0.0494 | F1 0.0791
TRAIN Epoch 0 | Batch 9 | TOTAL 1.1653 | RECON 0.5039 | BCE 0.6026 | KL 0.0589 | ACC 0.7353 | PRC 0.1839 | RCL 0.0516 | F1 0.0805
TRAIN Epoch 0 | Batch 10 | TOTAL 1.2372 | RECON 0.5071 | BCE 0.6713 | KL 0.0588 | ACC 0.6515 | PRC 0.2964 | RCL 0.0488 | F1 0.0838
TRAIN Epoch 0 | Batch 11 | TOTAL 1.1226 | RECON 0.4717 | BCE 0.6017 | KL 0.0492 | ACC 0.7460 | PRC 0.1663 | RCL 0.0408 | F1 0.0655
TRAIN Epoch 0 | Batch 12 | TOTAL 1.1427 | RECON 0.4451 | BCE 0.6457 | KL 0.0520 | ACC 0.6857 | PRC 0.2732 | RCL 0.0417 | F1 0.0723
TRAIN Epoch 0 | Batch 13 | TOTAL 1.1569 | RECON 0.4983 | BCE 0.6156 | KL 0.0430 | ACC 0.7175 | PRC 0.2564 | RCL 0.0394 | F1 0.0684
TRAIN Epoch 0 | Batch 14 | TOTAL 1.0920 | RECON 0.4311 | BCE 0.6185 | KL 0.0424 | ACC 0.7156 | PRC 0.2473 | RCL 0.0286 | F1 0.0513
TRAIN Epoch 0 | Batch 15 | TOTAL 1.0753 | RECON 0.4166 | BCE 0.6165 | KL 0.0421 | ACC 0.7266 | PRC 0.2298 | RCL 0.0200 | F1 0.0368
TRAIN Epoch 0 | Batch 16 | TOTAL 1.1856 | RECON 0.4738 | BCE 0.6729 | KL 0.0389 | ACC 0.6578 | PRC 0.2794 | RCL 0.0133 | F1 0.0254
TRAIN Epoch 0 | Batch 17 | TOTAL 1.0394 | RECON 0.3983 | BCE 0.6029 | KL 0.0382 | ACC 0.7376 | PRC 0.2195 | RCL 0.0133 | F1 0.0251
TRAIN Epoch 0 | Batch 18 | TOTAL 0.9755 | RECON 0.3597 | BCE 0.5845 | KL 0.0313 | ACC 0.7628 | PRC 0.2364 | RCL 0.0127 | F1 0.0242
TRAIN Epoch 0 | Batch 19 | TOTAL 1.1478 | RECON 0.4452 | BCE 0.6698 | KL 0.0328 | ACC 0.6541 | PRC 0.3113 | RCL 0.0080 | F1 0.0156
TRAIN Epoch 0 | Batch 20 | TOTAL 1.0242 | RECON 0.3990 | BCE 0.5944 | KL 0.0308 | ACC 0.7442 | PRC 0.2751 | RCL 0.0102 | F1 0.0196
